state,year,age_group,population
Colorado,1995,Retired,377328
Colorado,1996,Kids,1608593
Colorado,1996,Adults,1817541
Colorado,1996,Retired,386582
Colorado,1997,Kids,1642362
Colorado,1997,Adults,1854684
Colorado,1997,Retired,394247
Colorado,1998,Kids,1680398
Colorado,1998,Adults,1887311
Colorado,1998,Retired,401258
Colorado,1999,Kids,1714482
Colorado,1999,Adults,1933878
Colorado,1999,Retired,407773
Connecticut,1990,Kids,1383311
Connecticut,1990,Adults,1460334
Connecticut,1990,Retired,445411
Connecticut,1991,Kids,1365230
Connecticut,1991,Adults,1472711
Connecticut,1991,Retired,450699
Connecticut,1992,Kids,1341339
Connecticut,1992,Adults,1478046
Connecticut,1992,Retired,455612
Connecticut,1993,Kids,1325885
Connecticut,1993,Adults,1485800
Connecticut,1993,Retired,460640
Connecticut,1994,Kids,1308385
Connecticut,1994,Adults,1496313
Connecticut,1994,Retired,463648
Connecticut,1995,Kids,1292363
Connecticut,1995,Adults,1506007
Connecticut,1995,Retired,466923
Connecticut,1996,Kids,1277859
Connecticut,1996,Adults,1520150
Connecticut,1996,Retired,469021
Connecticut,1997,Kids,1266523
Connecticut,1997,Adults,1532846
Connecticut,1997,Retired,469145
Connecticut,1998,Kids,1272569
Connecticut,1998,Adults,1530847
Connecticut,1998,Retired,469147
Connecticut,1999,Kids,1281698
Connecticut,1999,Adults,1531757
Connecticut,1999,Retired,468576
DC,1970,Kids,398898
DC,1970,Adults,287444
DC,1970,Retired,70326
DC,1971,Kids,392144
DC,1971,Adults,287068
DC,1971,Retired,70565
DC,1972,Kids,385100
DC,1972,Adults,286374
DC,1972,Retired,70765
DC,1973,Kids,373836
DC,1973,Adults,286467
DC,1973,Retired,71187
DC,1974,Kids,361461
DC,1974,Adults,284886
DC,1974,Retired,71601
DC,1975,Kids,350993
DC,1975,Adults,283345
DC,1975,Retired,72533
DC,1976,Kids,340840
DC,1976,Adults,279192
DC,1976,Retired,72263
DC,1977,Kids,326970
DC,1977,Adults,277332
DC,1977,Retired,72927
DC,1978,Kids,317178
DC,1978,Adults,274713
DC,1978,Retired,73160
DC,1979,Kids,306423
DC,1979,Adults,270082
DC,1979,Retired,73510
DC,1980,Kids,306431
DC,1980,Adults,257573
DC,1980,Retired,74280
DC,1981,Kids,303897
DC,1981,Adults,259052
DC,1981,Retired,73945
DC,1982,Kids,299894
DC,1982,Adults,260270
DC,1982,Retired,74007
DC,1983,Kids,295568
DC,1983,Adults,262002
DC,1983,Retired,74869
DC,1984,Kids,293028
DC,1984,Adults,264799
DC,1984,Retired,75555
DC,1985,Kids,291137
DC,1985,Adults,267185
DC,1985,Retired,76221
DC,1986,Kids,290901
DC,1986,Adults,270695
DC,1986,Retired,76682
DC,1987,Kids,287039
DC,1987,Adults,272588
DC,1987,Retired,77307
DC,1988,Kids,281057
DC,1988,Adults,272452
DC,1988,Retired,76921
DC,1989,Kids,275382
DC,1989,Adults,271699
DC,1989,Retired,77084
DE,1970,Kids,298800
DE,1970,Adults,205655
DE,1970,Retired,43649
DE,1971,Kids,307863
DE,1971,Adults,211782
DE,1971,Retired,45061
DE,1972,Kids,311503
DE,1972,Adults,215072
DE,1972,Retired,46339
DE,1973,Kids,311408
DE,1973,Adults,218747
DE,1973,Retired,47607
DE,1974,Kids,311112
DE,1974,Adults,221234
DE,1974,Retired,49073
DE,1975,Kids,312119
DE,1975,Adults,223832
DE,1975,Retired,50639
DE,1976,Kids,312234
DE,1976,Adults,225593
DE,1976,Retired,52341
DE,1977,Kids,307929
DE,1977,Adults,229712
DE,1977,Retired,54188
DE,1978,Kids,305844
DE,1978,Adults,232987
DE,1978,Retired,55946
DE,1979,Kids,302636
DE,1979,Adults,234435
DE,1979,Retired,57911
DE,1980,Kids,299358
DE,1980,Adults,235932
DE,1980,Retired,59629
DE,1981,Kids,296968
DE,1981,Adults,237829
DE,1981,Retired,61174
DE,1982,Kids,296674
DE,1982,Adults,239264
DE,1982,Retired,63198
DE,1983,Kids,297491
DE,1983,Adults,242715
DE,1983,Retired,65209
DE,1984,Kids,297319
DE,1984,Adults,246771
DE,1984,Retired,67427
DE,1985,Kids,297684
DE,1985,Adults,250902
DE,1985,Retired,69698
DE,1986,Kids,298767
DE,1986,Adults,256884
DE,1986,Retired,71906
DE,1987,Kids,298709
DE,1987,Adults,263915
DE,1987,Retired,74333
DE,1988,Kids,299180
DE,1988,Adults,271846
DE,1988,Retired,76559
DE,1989,Kids,299581
DE,1989,Adults,279927
DE,1989,Retired,78725
Delaware,1990,Kids,300839
Delaware,1990,Adults,287369
Delaware,1990,Retired,80855
Delaware,1991,Kids,302021
Delaware,1991,Adults,295546
Delaware,1991,Retired,82928
Delaware,1992,Kids,302093
Delaware,1992,Adults,302992
Delaware,1992,Retired,85073
Delaware,1993,Kids,301484
Delaware,1993,Adults,310622
Delaware,1993,Retired,87369
Delaware,1994,Kids,301775
Delaware,1994,Adults,317447
Delaware,1994,Retired,89194
Delaware,1995,Kids,300607
Delaware,1995,Adults,326333
Delaware,1995,Retired,91325
Delaware,1996,Kids,300552
Delaware,1996,Adults,333065
Delaware,1996,Retired,93473
Delaware,1997,Kids,301331
Delaware,1997,Adults,338777
Delaware,1997,Retired,94916
Delaware,1998,Kids,302946
Delaware,1998,Adults,344311
Delaware,1998,Retired,96809
Delaware,1999,Kids,304923
Delaware,1999,Adults,350480
Delaware,1999,Retired,98135
District of Columbia,1990,Kids,259159
District of Columbia,1990,Adults,267546
District of Columbia,1990,Retired,77109
District of Columbia,1991,Kids,253768
District of Columbia,1991,Adults,262460
District of Columbia,1991,Retired,77011
District of Columbia,1992,Kids,246714
District of Columbia,1992,Adults,260403
District of Columbia,1992,Retired,77066
District of Columbia,1993,Kids,239389
District of Columbia,1993,Adults,259917
District of Columbia,1993,Retired,77052
District of Columbia,1994,Kids,231159
District of Columbia,1994,Adults,257146
District of Columbia,1994,Retired,76677
District of Columbia,1995,Kids,222562
District of Columbia,1995,Adults,252677
District of Columbia,1995,Retired,76034
District of Columbia,1996,Kids,212228
District of Columbia,1996,Adults,251224
District of Columbia,1996,Retired,74821
District of Columbia,1997,Kids,204384
District of Columbia,1997,Adults,250651
District of Columbia,1997,Retired,73717
District of Columbia,1998,Kids,194955
District of Columbia,1998,Adults,253548
District of Columbia,1998,Retired,72923
District of Columbia,1999,Kids,189248
District of Columbia,1999,Adults,257650
District of Columbia,1999,Retired,72102
FL,1970,Kids,3229527
FL,1970,Adults,2576367
FL,1970,Retired,985524
FL,1971,Kids,3395006
FL,1971,Adults,2696260
FL,1971,Retired,1067041
FL,1972,Kids,3552262
FL,1972,Adults,2822361
FL,1972,Retired,1136840
FL,1973,Kids,3715223
FL,1973,Adults,2987354
FL,1973,Retired,1211119
FL,1974,Kids,3871725
FL,1974,Adults,3138258
FL,1974,Retired,1288777
FL,1975,Kids,3945198
FL,1975,Adults,3220661
FL,1975,Retired,1352564
FL,1976,Kids,3979258
FL,1976,Adults,3273244
FL,1976,Retired,1414880
FL,1977,Kids,3996441
FL,1977,Adults,3376766
FL,1977,Retired,1482976
FL,1978,Kids,4048018
FL,1978,Adults,3487504
FL,1978,Retired,1566510
FL,1979,Kids,4144766
FL,1979,Adults,3635258
FL,1979,Retired,1646135
FL,1980,Kids,4276741
FL,1980,Adults,3858774
FL,1980,Retired,1704320
FL,1981,Kids,4405239
FL,1981,Adults,4024121
FL,1981,Retired,1763418
FL,1982,Kids,4484961
FL,1982,Adults,4162873
FL,1982,Retired,1823573
FL,1983,Kids,4563251
FL,1983,Adults,4301675
FL,1983,Retired,1884919
FL,1984,Kids,4636122
FL,1984,Adults,4455135
FL,1984,Retired,1948664
FL,1985,Kids,4721917
FL,1985,Adults,4614299
FL,1985,Retired,2014906
FL,1986,Kids,4814448
FL,1986,Adults,4769480
FL,1986,Retired,2083576
FL,1987,Kids,4897303
FL,1987,Adults,4945179
FL,1987,Retired,2154808
FL,1988,Kids,4985727
FL,1988,Adults,5098098
FL,1988,Retired,2222571
FL,1989,Kids,5076324
FL,1989,Adults,5261975
FL,1989,Retired,2299410
Florida,1990,Kids,5243598
Florida,1990,Adults,5401540
Florida,1990,Retired,2373227
Florida,1991,Kids,5276021
Florida,1991,Adults,5582130
Florida,1991,Retired,2431346
Florida,1992,Kids,5308061
Florida,1992,Adults,5719318
Florida,1992,Retired,2477396
Florida,1993,Kids,5348122
Florida,1993,Adults,5830848
Florida,1993,Retired,2534623
Florida,1994,Kids,5392592
Florida,1994,Adults,5980417
Florida,1994,Retired,2588789
Florida,1995,Kids,5433407
Florida,1995,Adults,6124259
Florida,1995,Retired,2627737
Florida,1996,Kids,5490390
Florida,1996,Adults,6260362
Florida,1996,Retired,2676159
Florida,1997,Kids,5571148
Florida,1997,Adults,6407083
Florida,1997,Retired,2705119
Florida,1998,Kids,5642972
Florida,1998,Adults,6540521
Florida,1998,Retired,2724737
Florida,1999,Kids,5703821
Florida,1999,Adults,6665574
