"fips","agegr","year","state","pop","age","popm","popf","state2"
15,"35-44",1970,"HI",95727,,,,"HI"
15,"14",1970,"HI",15719,,,,"HI"
15,"45-54",1970,"HI",84418,,,,"HI"
15,"19",1970,"HI",13982,,,,"HI"
15,"20",1970,"HI",16739,,,,"HI"
15,"30-34",1970,"HI",47731,,,,"HI"
15,"24",1970,"HI",13357,,,,"HI"
15,"55-59",1970,"HI",30399,,,,"HI"
15,"62-64M",1970,"HI",7508,,,,"HI"
19,"16",1970,"IA",55992,,,,"IA"
19,"35-44",1970,"IA",297106,,,,"IA"
19,"55-59",1970,"IA",140666,,,,"IA"
19,"15",1970,"IA",57003,,,,"IA"
19,"62-64F",1970,"IA",38788,,,,"IA"
19,"25-29",1970,"IA",167626,,,,"IA"
19,"23",1970,"IA",41501,,,,"IA"
19,"65+",1970,"IA",349264,,,,"IA"
19,"17",1970,"IA",55403,,,,"IA"
19,"19",1970,"IA",49659,,,,"IA"
19,"5-13",1970,"IA",515739,,,,"IA"
19,"22",1970,"IA",42637,,,,"IA"
19,"62-64M",1970,"IA",34441,,,,"IA"
19,"60-61",1970,"IA",53983,,,,"IA"
19,"3-4",1970,"IA",95334,,,,"IA"
19,"24",1970,"IA",32435,,,,"IA"
19,"21",1970,"IA",42007,,,,"IA"
19,"45-54",1970,"IA",311198,,,,"IA"
19,"14",1970,"IA",58314,,,,"IA"
19,"30-34",1970,"IA",147356,,,,"IA"
19,"20",1970,"IA",45220,,,,"IA"
19,"0-2",1970,"IA",138000,,,,"IA"
19,"18",1970,"IA",55696,,,,"IA"
16,"45-54",1970,"ID",77946,,,,"ID"
16,"17",1970,"ID",15179,,,,"ID"
16,"5-13",1970,"ID",136500,,,,"ID"
16,"25-29",1970,"ID",44429,,,,"ID"
16,"21",1970,"ID",10881,,,,"ID"
16,"16",1970,"ID",15853,,,,"ID"
16,"35-44",1970,"ID",75015,,,,"ID"
16,"14",1970,"ID",16182,,,,"ID"
16,"22",1970,"ID",11296,,,,"ID"
16,"20",1970,"ID",11823,,,,"ID"
16,"24",1970,"ID",8606,,,,"ID"
16,"18",1970,"ID",14626,,,,"ID"
16,"23",1970,"ID",10798,,,,"ID"
16,"19",1970,"ID",12530,,,,"ID"
16,"55-59",1970,"ID",35177,,,,"ID"
16,"30-34",1970,"ID",38657,,,,"ID"
16,"15",1970,"ID",15967,,,,"ID"
